Date,All amount, Currency
20171002,0.000000,826
20171002,59659.862560,344
20171002,0.000000,840
20171002,291136.2200,392
20171002,0.000000,978
20171002,513.706000,840
20171003,1935.222200,840
20171003,0.000000,840
20171003,78484.051980,344
20171003,0.000000,826
20171003,0.000000,978
20171003,165734.7680,392
20171004,436.650100,840
20171004,718316.7760,392
20171004,0.000000,978
20171004,82512.384560,344
20171004,0.000000,840
20171004,0.000000,826
20171005,1049.892800,840
20171005,119.315860,978
20171005,222745.2880,392
20171005,0.000000,826
20171005,0.000000,840
20171005,181849.912560,344
20171006,295.356300,840
20171006,0.000000,826
20171006,30108.939700,344
20171006,0.000000,840
20171006,206525.5880,392
20171006,101.922820,978
20171007,0.000000,840
20171007,387539.658500,344
20171007,0.000000,826
20171007,0.000000,978
20171007,1245798.1820,392
20171007,4101.533220,840
20171008,172074.7480,392
20171008,117.334000,978
20171008,55315.556420,344
20171008,0.000000,840
20171008,0.000000,826
20171008,472.629240,840
20171009,270371.0600,392
20171009,0.000000,978
20171009,0.000000,826
20171009,69720.661460,344
20171009,0.000000,840
20171009,78.712380,840
20171010,0.000000,826
20171010,0.000000,840
20171010,204869.571420,344
20171010,0.000000,978
20171010,722395.8580,392
20171010,555.936380,840
20171011,238225.054160,344
20171011,0.000000,840
20171011,0.000000,826
20171011,209.268640,978
20171011,259065.5840,392
20171011,686.837740,840
20171012,554926.7160,392
20171012,0.000000,978
20171012,0.000000,840
20171012,89525.339140,344
20171012,0.000000,826
20171012,356.340400,840
20171013,642.655080,840
20171013,110.362980,978
20171013,383486.9520,392
20171013,0.000000,826
20171013,197896.520260,344
20171013,0.000000,840
20171014,318.320240,840
20171014,0.000000,826
20171014,0.000000,840
20171014,258424.792460,344
20171014,239962.8200,392
20171014,0.000000,978
20171015,1119.474820,840
20171015,1750.919080,344
20171015,0.000000,840
20171015,0.000000,826
20171015,0.000000,978
20171015,173773.6260,392
20171016,148.649360,840
20171016,259263.7700,392
20171016,0.000000,978
20171016,0.000000,840
20171016,1167.276100,344
20171016,0.000000,826
20171017,0.000000,978
20171017,348380.4220,392
20171017,0.000000,826
20171017,298945.635800,344
20171017,0.000000,840
20171017,597.624460,840
20171018,0.000000,826
20171018,0.000000,840
20171018,572354.768860,344
20171018,740379.5120,392
20171018,0.000000,978
20171018,546.529940,840
20171019,0.000000,840
20171019,482727.792840,344
20171019,0.000000,826
20171019,176747.4020,392
20171019,0.000000,978
20171019,812.424560,840
20171020,0.000000,978
20171020,566486.5800,392
20171020,355381.741780,344
20171020,0.000000,840
20171020,0.000000,826
20171020,407.937780,840
20171021,1376.564460,840
20171021,0.000000,978
20171021,461184.7380,392
20171021,235696.457160,344
20171021,0.000000,840
20171021,0.000000,826
20171022,315.332660,840
20171022,0.000000,840
20171022,11605.456640,344
20171022,0.000000,826
20171022,207647.6560,392
20171022,0.000000,978
20171023,0.000000,826
20171023,22050.371560,344
20171023,0.000000,840
20171023,110.362980,978
20171023,589524.4700,392
20171023,362.798700,840
20171024,690429.7380,392
20171024,0.000000,978
20171024,0.000000,826
20171024,0.000000,840
20171024,126408.434080,344
20171024,1236.079180,840
20171025,0.000000,978
20171025,1008726.3140,392
20171025,241885.579160,344
20171025,0.000000,840
20171025,0.000000,826
20171025,2765.591960,840
20171026,0.000000,840
20171026,93399.914880,344
20171026,0.000000,826
20171026,312110.4120,392
20171026,101.212900,978
20171026,1297.960540,840
20171027,2044.293520,840
20171027,0.000000,826
20171027,161037.690780,344
20171027,0.000000,840
20171027,0.000000,978
20171027,1044929.2760,392
20171028,1434.482100,840
20171028,231397.4380,392
20171028,0.000000,978
20171028,0.000000,826
20171028,0.000000,840
20171028,262639.972040,344
20171029,284.480720,840
20171029,146653.6960,392
20171029,0.000000,978
20171029,0.000000,840
20171029,29508.544580,344
20171029,0.000000,826
20171030,756.202840,840
20171030,12299.058340,344
20171030,0.000000,840
20171030,0.000000,826
20171030,0.000000,978
20171030,639981.0480,392
20171031,754.595660,840
20171031,0.000000,826
20171031,0.000000,840
20171031,152203.574480,344
20171031,0.000000,978
20171031,247027.5100,392
20171101,366.821580,840
20171101,504724.5260,392
20171101,220.962600,978
20171101,0.000000,826
20171101,88398.893300,344
20171101,0.000000,840
